Date,Action,Price,Quantity,Cash,Portfolio_Value
2019-01-15,Buy,105.01000213623047,952.0,30.47796630859375,100000.0
2019-01-29,Sell,102.94000244140625,0.0,98029.36029052734,98029.36029052734
2019-01-30,Buy,106.37999725341797,921.0,53.38282012939453,98029.36029052734
2019-02-01,Sell,102.77999877929688,0.0,94713.76169586182,94713.76169586182
2019-02-04,Buy,105.73999786376953,895.0,76.46360778808594,94713.76169586182
2019-05-31,Sell,123.68000030517578,0.0,110770.06388092041,110770.06388092041
2019-06-05,Buy,125.83000183105469,880.0,39.662269592285156,110770.06388092041
2019-08-05,Sell,132.2100067138672,0.0,116384.46817779541,116384.46817779541
2019-08-19,Buy,138.41000366210938,840.0,120.06510162353516,116384.46817779541
2019-08-23,Sell,133.38999938964844,0.0,112167.66458892822,112167.66458892822
2019-08-29,Buy,138.1199951171875,812.0,14.228553771972656,112167.66458892822
2019-09-03,Sell,136.0399932861328,0.0,110478.70310211182,110478.70310211182
2019-09-04,Buy,137.6300048828125,802.0,99.4391860961914,110478.70310211182
2019-09-10,Sell,136.0800018310547,0.0,109235.60065460205,109235.60065460205
2019-09-12,Buy,137.52000427246094,794.0,44.717262268066406,109235.60065460205
2019-09-16,Sell,136.3300018310547,0.0,108290.73871612549,108290.73871612549
2019-09-17,Buy,137.38999938964844,788.0,27.41919708251953,108290.73871612549
2019-10-01,Sell,137.07000732421875,0.0,108038.5849685669,108038.5849685669
2019-10-15,Buy,141.57000732421875,763.0,20.66938018798828,108038.5849685669
2019-10-18,Sell,137.41000366210938,0.0,104864.50217437744,104864.50217437744
2019-10-21,Buy,138.42999267578125,757.0,72.99771881103516,104864.50217437744
2019-10-22,Sell,136.3699951171875,0.0,103305.08402252197,103305.08402252197
2019-10-25,Buy,140.72999572753906,734.0,9.267158508300781,103305.08402252197
2020-02-25,Sell,168.07000732421875,0.0,123372.65253448486,123372.65253448486
2020-03-02,Buy,172.7899932861328,714.0,0.5973281860351562,123372.65253448486
2020-03-03,Sell,164.50999450683594,0.0,117460.7334060669,117460.7334060669
2020-04-06,Buy,165.27000427246094,710.0,119.0303726196289,117460.7334060669
2020-08-11,Sell,203.3800048828125,0.0,144518.8338394165,144518.8338394165
2020-08-12,Buy,209.19000244140625,690.0,177.7321548461914,144518.8338394165
2020-09-08,Sell,202.66000366210938,0.0,140013.13468170166,140013.13468170166
2020-10-01,Buy,212.4600067138672,659.0,1.9902572631835938,140013.13468170166
2020-10-02,Sell,206.19000244140625,0.0,135881.2018661499,135881.2018661499
2020-10-09,Buy,215.80999755859375,629.0,136.7134017944336,135881.2018661499
2020-10-26,Sell,210.0800018310547,0.0,132277.03455352783,132277.03455352783
2020-10-27,Buy,213.25,620.0,62.03455352783203,132277.03455352783
2020-10-28,Sell,202.67999267578125,0.0,125723.6300125122,125723.6300125122
2020-11-04,Buy,216.38999938964844,581.0,1.0403671264648438,125723.6300125122
2020-11-10,Sell,211.00999450683594,0.0,122597.84717559814,122597.84717559814
2020-11-11,Buy,216.5500030517578,566.0,30.545448303222656,122597.84717559814
2020-11-18,Sell,211.0800018310547,0.0,119501.82648468018,119501.82648468018
2020-11-24,Buy,213.86000061035156,558.0,167.9461441040039,119501.82648468018
2020-12-07,Sell,214.2899932861328,0.0,119741.76239776611,119741.76239776611
2020-12-08,Buy,216.00999450683594,554.0,72.2254409790039,119741.76239776611
2020-12-09,Sell,211.8000030517578,0.0,117409.42713165283,117409.42713165283
2020-12-18,Buy,218.58999633789062,537.0,26.599098205566406,117409.42713165283
2021-01-06,Sell,212.25,0.0,114004.84909820557,114004.84909820557
2021-01-07,Buy,218.2899932861328,522.0,57.47260284423828,114004.84909820557
2021-01-12,Sell,214.92999267578125,0.0,112250.92877960205,112250.92877960205
2021-01-19,Buy,216.44000244140625,518.0,135.00751495361328,112250.92877960205
2021-02-25,Sell,228.99000549316406,0.0,118751.8303604126,118751.8303604126
2021-02-26,Buy,232.3800048828125,511.0,5.647865295410156,118751.8303604126
2021-03-03,Sell,227.55999755859375,0.0,116288.80661773682,116288.80661773682
2021-03-09,Buy,233.77999877929688,497.0,100.14722442626953,116288.80661773682
2021-03-10,Sell,232.4199981689453,0.0,115612.88631439209,115612.88631439209
