Date,Action,Price,Quantity,Cash,Portfolio_Value
2019-01-04,Buy,53.903499603271484,1855.0,9.008235931396484,100000.0
2019-01-14,Sell,52.57550048828125,0.0,97536.56164169312,97536.56164169312
2019-01-15,Buy,54.32550048828125,1795.0,22.288265228271484,97536.56164169312
2019-04-30,Sell,59.948001861572266,0.0,107628.95160675049,107628.95160675049
2019-07-03,Buy,56.14950180053711,1916.0,46.50615692138672,107628.95160675049
2019-08-23,Sell,57.67900085449219,0.0,110559.47179412842,110559.47179412842
2019-08-26,Buy,58.558998107910156,1888.0,0.08336639404296875,110559.47179412842
2019-09-03,Sell,58.477500915527344,0.0,110405.60509490967,110405.60509490967
2019-09-04,Buy,59.11349868774414,1867.0,40.70304489135742,110405.60509490967
2019-10-02,Sell,58.895999908447266,0.0,109999.5348739624,109999.5348739624
2019-10-04,Buy,60.54800033569336,1816.0,44.36626434326172,109999.5348739624
2019-10-08,Sell,59.506500244140625,0.0,108108.17070770264,108108.17070770264
2019-10-10,Buy,60.4734992980957,1787.0,42.027462005615234,108108.17070770264
2020-02-24,Sell,70.99299621582031,0.0,126906.51169967651,126906.51169967651
2020-04-14,Buy,63.26150131225586,2006.0,3.9400672912597656,126906.51169967651
2020-06-26,Sell,68.12699890136719,0.0,136666.69986343384,136666.69986343384
2020-06-30,Buy,70.90249633789062,1927.0,37.589420318603516,136666.69986343384
2020-08-04,Sell,73.66500091552734,0.0,141990.0461845398,141990.0461845398
2020-08-05,Buy,73.95449829101562,1919.0,71.36396408081055,141990.0461845398
2020-08-11,Sell,74.0270004272461,0.0,142129.17778396606,142129.17778396606
2020-08-12,Buy,75.36199951171875,1885.0,71.8087043762207,142129.17778396606
2020-09-08,Sell,76.18000030517578,0.0,143671.10927963257,143671.10927963257
2020-09-09,Buy,77.36150360107422,1857.0,10.79709243774414,143671.10927963257
2020-09-10,Sell,76.30249786376953,0.0,141704.53562545776,141704.53562545776
2020-10-12,Buy,78.22949981689453,1811.0,30.911457061767578,141704.53562545776
2020-10-19,Sell,76.49749755859375,0.0,138567.87953567505,138567.87953567505
2020-10-20,Buy,77.55400085449219,1786.0,56.43400955200195,138567.87953567505
2020-10-28,Sell,75.54000091552734,0.0,134970.87564468384,134970.87564468384
2020-10-29,Buy,77.84400177001953,1733.0,67.22057723999023,134970.87564468384
2020-12-18,Sell,86.31099700927734,0.0,149644.17839431763,149644.17839431763
2020-12-28,Buy,88.697998046875,1687.0,10.655689239501953,149644.17839431763
2020-12-30,Sell,86.8125,0.0,146463.3431892395,146463.3431892395
