Date,Action,Price,Quantity,Cash,Portfolio_Value
2020-07-31,Buy,253.6699981689453,554.0,138.04205322265625,140671.22103881836
2020-09-16,Sell,263.5199890136719,0.0,146128.11596679688,146128.11596679688
2020-10-12,Buy,275.75,529.0,256.365966796875,146128.11596679688
2020-10-15,Sell,266.7200012207031,0.0,141351.24661254883,141351.24661254883
2020-10-21,Buy,278.7300109863281,507.0,35.13104248046875,141351.24661254883
2020-10-28,Sell,267.6700134277344,0.0,135743.8278503418,135743.8278503418
2020-10-29,Buy,280.8299865722656,483.0,102.9443359375,135743.8278503418
2020-10-30,Sell,263.1099853515625,0.0,127185.06726074219,127185.06726074219
2020-11-05,Buy,294.67999267578125,431.0,177.99041748046875,127185.06726074219
2020-11-20,Sell,269.70001220703125,0.0,116418.69567871094,116418.69567871094
2020-11-24,Buy,276.9200134277344,420.0,112.2900390625,116418.69567871094
2020-12-11,Sell,273.54998779296875,0.0,115003.28491210938,115003.28491210938
2020-12-28,Buy,277.0,415.0,48.284912109375,115003.28491210938
2020-12-30,Sell,271.8699951171875,0.0,112874.33288574219,112874.33288574219
2021-01-21,Buy,272.8699951171875,413.0,179.02490234375,112874.33288574219
2021-01-28,Sell,265.0,0.0,109624.02490234375,109624.02490234375
2021-02-09,Buy,269.45001220703125,406.0,227.3199462890625,109624.02490234375
2021-02-19,Sell,261.55999755859375,0.0,106420.67895507812,106420.67895507812
2021-03-16,Buy,279.2799987792969,381.0,14.999420166015625,106420.67895507812
2021-05-12,Sell,302.54998779296875,0.0,115286.54476928711,115286.54476928711
2021-05-13,Buy,305.260009765625,377.0,203.52108764648438,115286.54476928711
2021-07-19,Sell,336.95001220703125,0.0,127233.67568969727,127233.67568969727
2021-07-20,Buy,341.6600036621094,372.0,136.15432739257812,127233.67568969727
2021-09-17,Sell,364.7200012207031,0.0,135811.99478149414,135811.99478149414
2021-11-05,Buy,341.1300048828125,398.0,42.252838134765625,135811.99478149414
2021-11-09,Sell,335.3699951171875,0.0,133519.5108947754,133519.5108947754
2021-11-12,Buy,340.8900146484375,391.0,231.51516723632812,133519.5108947754
2021-11-30,Sell,324.4599914550781,0.0,127095.37182617188,127095.37182617188
2021-12-13,Buy,334.489990234375,379.0,323.66552734375,127095.37182617188
2021-12-20,Sell,325.45001220703125,0.0,123669.2201538086,123669.2201538086
2021-12-21,Buy,334.20001220703125,370.0,15.21563720703125,123669.2201538086
2021-12-22,Sell,330.45001220703125,0.0,122281.7201538086,122281.7201538086
2021-12-23,Buy,335.239990234375,364.0,254.36370849609375,122281.7201538086
2022-01-05,Sell,324.1700134277344,0.0,118252.2485961914,118252.2485961914
2022-03-25,Buy,221.82000732421875,533.0,22.1846923828125,118252.2485961914
2022-04-14,Sell,210.17999267578125,0.0,112048.12078857422,112048.12078857422
2022-04-18,Buy,210.77000427246094,531.0,129.24851989746094,112048.12078857422
2022-04-20,Sell,200.4199981689453,0.0,106552.26754760742,106552.26754760742
2022-05-02,Buy,211.1300048828125,504.0,142.74508666992188,106552.26754760742
2022-05-05,Sell,208.27999877929688,0.0,105115.86447143555,105115.86447143555
2022-07-19,Buy,175.77999877929688,597.0,175.2052001953125,105115.86447143555
2022-07-22,Sell,169.27000427246094,0.0,101229.39775085449,101229.39775085449
2022-08-03,Buy,168.8000030517578,599.0,118.1959228515625,101229.39775085449
2022-08-19,Sell,167.9600067138672,0.0,100726.23994445801,100726.23994445801
2022-08-25,Buy,168.77999877929688,596.0,133.3606719970703,100726.23994445801
2022-08-26,Sell,161.77999877929688,0.0,96554.23994445801,96554.23994445801
2022-09-09,Buy,169.14999389648438,570.0,138.74342346191406,96554.23994445801
2022-09-13,Sell,153.1300048828125,0.0,87422.84620666504,87422.84620666504
2022-11-30,Buy,118.0999984741211,740.0,28.847335815429688,87422.84620666504
2022-12-06,Sell,114.12000274658203,0.0,84477.64936828613,84477.64936828613
2022-12-08,Buy,115.33000183105469,732.0,56.08802795410156,84477.64936828613
2023-08-16,Sell,294.2900085449219,0.0,215476.3742828369,215476.3742828369
2023-09-11,Buy,307.55999755859375,700.0,184.37599182128906,215476.3742828369
2023-09-12,Sell,301.6600036621094,0.0,211346.37855529785,211346.37855529785
2023-09-13,Buy,305.05999755859375,692.0,244.86024475097656,211346.37855529785
2023-09-15,Sell,300.30999755859375,0.0,208059.37855529785,208059.37855529785
2023-09-18,Buy,302.54998779296875,687.0,207.5369415283203,208059.37855529785
2023-09-20,Sell,299.6700134277344,0.0,206080.83616638184,206080.83616638184
2023-10-10,Buy,321.8399963378906,640.0,103.23851013183594,206080.83616638184
2023-10-25,Sell,299.5299987792969,0.0,191802.43772888184,191802.43772888184
